05/18/21 17:04:46:722 | [INFO] |  |  |  | AGMService |  |  | 9139 | Launch Callback received
05/18/21 19:24:52:741 | [INFO] |  |  |  | AGMService |  |  | 9139 | Launch Callback received
05/18/21 19:26:29:727 | [INFO] |  |  |  | AGMService |  |  | 9139 | Launch Callback received
05/18/21 19:27:10:686 | [INFO] |  |  |  | AGMService |  |  | 9139 | Launch Callback received
05/18/21 19:50:21:783 | [INFO] |  |  |  | AGMService |  |  | 9139 | Launch Callback received
05/18/21 20:23:36:792 | [INFO] |  |  |  | AGMService |  |  | 9139 | Launch Callback received
05/18/21 20:55:06:585 | [INFO] |  |  |  | AGMService |  |  | 9139 | Launch Callback received
05/18/21 21:31:16:312 | [INFO] |  |  |  | AGMService |  |  | 9139 | Launch Callback received
05/18/21 22:37:39:428 | [INFO] |  |  |  | AGMService |  |  | 9139 | Launch Callback received
05/18/21 22:41:50:008 | [INFO] |  |  |  | AGMService |  |  | 9139 | Launch Callback received
05/18/21 23:00:35:856 | [INFO] |  |  |  | GCValidator |  |  | 348152 | 0
05/18/21 23:00:35:857 | [INFO] |  |  |  | GCValidator |  |  | 348152 | 0
05/18/21 23:00:35:857 | [INFO] |  |  |  | GCValidator |  |  | 348152 | GC validator launched with proper arguments
05/18/21 23:00:36:489 | [INFO] |  |  |  | GCValidator |  |  | 348152 | Terminal command launched
05/18/21 23:00:36:489 | [INFO] |  |  |  | GCValidator |  |  | 348152 | sudo launchctl list | grep Adobe_Genuine_Software_Integrity_Service
05/18/21 23:00:36:616 | [INFO] |  |  |  | GCValidator |  |  | 348152 | Terminal result recieved
05/18/21 23:00:36:616 | [INFO] |  |  |  | GCValidator |  |  | 348152 | -	0	Adobe_Genuine_Software_Integrity_Service

05/18/21 23:00:36:616 | [INFO] |  |  |  | GCValidator |  |  | 348152 | AGS already loaded
05/18/21 23:00:36:616 | [INFO] |  |  |  | GCValidator |  |  | 348152 | writing data to GC started
05/18/21 23:00:36:616 | [INFO] |  |  |  | GCValidator |  |  | 348152 | Checking permissions of the file at path /Library/Application Support/Adobe/AdobeGCClient/AdobeGenuineValidatorAnalytics.json
05/18/21 23:00:36:618 | [INFO] |  |  |  | GCValidator |  |  | 348152 | writing data to GC ended
05/18/21 23:00:36:618 | [INFO] |  |  |  | GCValidator |  |  | 348152 | Terminal command launched
05/18/21 23:00:36:618 | [INFO] |  |  |  | GCValidator |  |  | 348152 | launchctl list | grep Adobe_Genuine_Software_Integrity_Service
05/18/21 23:00:36:625 | [INFO] |  |  |  | GCValidator |  |  | 348152 | Terminal result recieved
05/18/21 23:00:36:625 | [INFO] |  |  |  | GCValidator |  |  | 348152 | 
05/18/21 23:00:36:625 | [ERROR] |  |  |  | GCValidator |  |  | 348152 | Global Error Code:0
05/18/21 23:25:29:792 | [INFO] |  |  |  | AGMService |  |  | 9139 | Launch Callback received
05/18/21 23:34:52:807 | [INFO] |  |  |  | AGMService |  |  | 9139 | Launch Callback received
05/18/21 23:34:58:739 | [INFO] |  |  |  | AGMService |  |  | 9139 | Launch Callback received
05/19/21 09:55:09:121 | [INFO] |  |  |  | AGMService |  |  | 9139 | Launch Callback received
05/19/21 21:01:07:437 | [INFO] |  |  |  | AGMService |  |  | 9139 | Launch Callback received
05/19/21 21:16:01:304 | [INFO] |  |  |  | AGMService |  |  | 9139 | Launch Callback received
05/19/21 21:16:02:209 | [INFO] |  |  |  | AGMService |  |  | 9139 | Launch Callback received
05/19/21 21:46:57:221 | [INFO] |  |  |  | AGMService |  |  | 9139 | Launch Callback received
